num,ang1,ang2,ang3,ang4,ang5,ang6,ang7,ang8,ang9,ang10,label
38,178.54671902615124,178.41929602091466,164.74161443102173,161.68558413275846,91.58450945068267,95.9005965174324,172.455704198072,172.49040529367795,179.9090277361197,179.23116640399118,arm_stretch_up
39,179.80163510229204,178.53975376720675,154.8161603531913,154.3062445762765,94.46419815338777,93.20030856187033,169.1363726164791,173.23876148996277,178.84043248854937,177.16557561677485,arm_stretch_up
40,178.23098552895786,177.52574725909304,157.3633140262221,170.6447683233218,99.29680833890225,96.73724123973999,168.92430371133693,167.04608636170778,175.40614879499785,178.91800293711898,arm_stretch_up
41,179.39869443537026,178.53481506075008,163.11833377945248,170.00676684521366,99.70039194394577,97.70933308003393,166.61612166689375,167.56826004005032,178.5933952665736,176.27207686112632,arm_stretch_up
42,178.9945874170003,175.20280066976264,159.28149432916996,177.08814632723954,101.20765092229729,96.4125016633066,165.49440351406682,168.32859263638363,178.05029370578336,176.4664967208893,arm_stretch_up
43,172.80527464547814,164.87925587449257,178.07500948950917,174.4321090429794,91.43209618416465,93.01278750418334,174.25614191385284,172.2423132903602,177.56281781058124,178.41930867998164,arm_stretch_up
44,175.460392540646,174.31023583772648,144.2846920449071,155.81162899327026,90.36273345163802,86.37639577601628,176.20780614302774,178.9950284587905,179.32671502631425,178.78297599171708,arm_stretch_up
45,175.69641990109372,171.41023433945375,157.77801601379426,173.4841251719868,87.29836572460593,95.84188963003896,175.5804511465737,171.7302760811752,176.59113682584365,177.09886548663516,arm_stretch_up
46,176.23596513509438,176.86129681945656,165.9311186663284,177.71640891843228,83.93263174034564,87.97497289545649,174.92039213998552,178.38621679481133,175.8914140710651,177.54894469094666,arm_stretch_up
47,7.776985370631838,34.543892574419544,170.19627002011327,164.0231319162453,94.26706700923116,84.4066186362964,173.75026055852982,175.69606993234072,172.02038261659976,175.91093220719512,arm_stretch_up
48,19.55052710316738,27.388028420989816,12.516720364616484,156.65189704745606,38.12826299691682,123.56969841837248,179.34749268570766,178.01520640072454,176.055610988658,174.28029155587205,arm_stretch_up
